subgenre,broad_genre
Stomp Pop,Pop
Stoner Metal,Metal
Stoner Rock,Rock
Straight Edge,Other
Street Punk,Rock
Stride,Other
String Band,Other
String Folk,Folk
String Quartet,Other
Substep,Electronic
Sunset Lounge,Other
Suomi Rock,Rock
Surf Music,Other
Swamp Blues,Blues
Swamp Pop,Pop
Swedish Alternative Rock,Rock
Swedish Hard Rock,Rock
Swedish Hip Hop,Hip Hop
Swedish Indie Pop,Pop
Swedish Indie Rock,Rock
Swedish Jazz,Jazz
Swedish Metal,Metal
Swedish Pop,Pop
Swedish Pop Punk,Rock
Swedish Prog,Other
Swedish Punk,Rock
Swedish Reggae,Other
Swedish Soft Pop,Pop
Swedish Synthpop,Pop
Swing,Jazz
Swirl Psych,Other
Swiss Folk,Folk
Swiss Hip Hop,Hip Hop
Swiss Rock,Rock
Symphonic Black Metal,Metal
Symphonic Metal,Metal
Symphonic Rock,Rock
Synthpop,Pop
Taiwanese Pop,Pop
Talent Show,Other
Tango,Folk
Tech House,Electronic
Technical Brutal Death Metal,Metal
Technical Death Metal,Metal
Techno,Electronic
Teen Pop,Pop
Tejano,Other
Tekno,Other
Terrorcore,Other
Texas Blues,Blues
Texas Country,Country
Thai Indie,Other
Thai Pop,Pop
Thrash Core,Metal
Thrash Metal,Metal
Thrash-groove Metal,Metal
Throat Singing,Jazz
Tibetan,Other
Tico,Folk
Timba,Other
Tin Pan Alley,Other
Traditional Blues,Blues
Traditional British Folk,Folk
Traditional Country,Country
Traditional Folk,Folk
Traditional Funk,R&B
Traditional Irish Folk,Folk
Traditional Reggae,Folk
Traditional Rock 'N Roll,Rock
Traditional Rockabilly,Rock
Traditional Scottish Folk,Folk
Traditional Ska,Rock
Traditional Soul,R&B
Traditional Swing,Jazz
Trance,Electronic
Trance Hop,Electronic
Trap Music,Hip Hop
Trapstep,Hip Hop
Trash Rock,Metal
Triangle Indie,Other
Tribal House,Electronic
Tribute,Other
Trip Hop,Hip Hop
Tropical,Other
Trova,Other
Turbo Folk,Folk
Turkish Alternative,Rock
Turkish Classical,Classical
Turkish Folk,Folk
Turkish Hip Hop,Hip Hop
Turkish Jazz,Jazz
Turkish Pop,Pop
Turkish Rock,Rock
Turntablism,Other
Twee Indie Pop,Pop
Twee Pop,Pop
Twin Cities Indie,Other
Tzadik,Other
Uk Dub,Other
Uk Garage,Rock
Uk Hip Hop,Hip Hop
Uk Post-punk,Rock
Ukrainian Rock,Rock
Ukulele,Other
Unblack Metal,Metal
Underground Hip Hop,Hip Hop
Underground Latin Hip Hop,Hip Hop
Underground Pop Rap,Pop
Underground Power Pop,Pop
Underground Rap,Hip Hop
Uplifting Trance,Electronic
Urban Contemporary,Other
Vallenato,Other
Vancouver Indie,Metal
Vapor House,Electronic
Vaporwave,Electronic
Vegan Straight Edge,Other
Vegas Indie,Other
Velha Guarda,Other
Venezuelan Rock,Rock
Video Game Music,Other
Vienna Indie,Other
Vietnamese Pop,Pop
Viking Metal,Metal
Vintage Chanson,Other
Vintage Country Folk,Country
Vintage Gospel,Other
Vintage Jazz,Jazz
Vintage Reggae,Other
Vintage Rockabilly,Rock
Vintage Schlager,Other
Vintage Swedish Pop,Pop
Vintage Swing,Jazz
Vintage Swoon,Other
Vintage Tango,Folk
Vintage Western,Other
Violin,Other
Viral Pop,Pop
Visual Kei,Other
Vocal House,Electronic
Vocal Jazz,Jazz
Vocaloid,Electronic
Volksmusik,Other
Warm Drone,Experimental
Welsh Rock,Rock
West African Jazz,Jazz
West Coast Rap,Hip Hop
Western Swing,Jazz
Wind Ensemble,Other
Witch House,Electronic
Wonky,Other
Workout,Other
World,Other
World Chill,Other
World Christmas,Other
World Fusion,Jazz
Worship,Other
Wrestling,Other
Wrock,Rock
Ye Ye,Other
Yoik,Other
Yugoslav Rock,Rock
Zeuhl,Other
Zillertal,Metal
Zim,Other
Zolo,Other
Zouglou,Other
Zouk,Folk
Zydeco,Other
Surf Rock,Rock
Proto-Punk,Rock
Musicals,Pop
Melodic Rap,Hip Hop
Laïko,Folk
Baroque Pop,Pop
Ghazal,Folk
Hindi Hip Hop,Hip Hop
Yacht Rock,Rock
Bhojpuri Pop,Pop
Dark R&B,R&B
acid rock,Rock
acoustic country,Country
afro house,Electronic
afropop,Pop
afroswing,Other
alt country,Country
amapiano,Jazz
ambient folk,Electronic
americana,Folk
aor,Rock
arabic hip hop,Hip Hop
arena rock,Rock
argentine trap,Hip Hop
art pop,Pop
axé,Other
ballroom vogue,Other
bangla pop,Pop
batak,Other
bedroom pop,Pop
bhajan,Other
bisrock,Rock
blues rock,Rock
bollywood,Other
boom bap,Hip Hop
brazilian bass,Other
brazilian jazz,Jazz
brazilian phonk,Hip Hop
brazilian trap,Hip Hop
brooklyn drill,Hip Hop
budots,Other
candombe,Other
cedm,Other
cha cha cha,Other
chamamé,Folk
chamber music,Classical
chicago drill,Hip Hop
chilean trap,Hip Hop
chinese indie,Other
chinese rock,Rock
christian,Other
christian country,Country
christian folk,Folk
city pop,Pop
classic blues,Blues
classic country,Country
classic soul,R&B
cloud rap,Hip Hop
cold wave,Other
colombian pop,Pop
contemporary r&b,R&B
corrido,Other
corridos tumbados,Other
country hip hop,Hip Hop
cuarteto,Other
cumbia norteña,Other
dembow,Other
dembow belico,Other
desi pop,Pop
devotional,Other
disco polo,Other
drift phonk,Hip Hop
drill,Hip Hop
edm trap,Hip Hop
egyptian hip hop,Hip Hop
egyptian pop,Pop
egyptian shaabi,Other
electro corridos,Electronic
electrocumbia,Other
emo rap,Rock
ethiopian jazz,Jazz
experimental hip hop,Hip Hop
finnish rock,Rock
flamenco pop,Pop
flamenco urbano,Other
folk pop,Pop
forró,Other
french house,Electronic
french jazz,Jazz
french rap,Hip Hop
future bass,Electronic
future house,Electronic
g-funk,R&B
g-house,Electronic
gnawa,Other
go-go,Other
gospel r&b,R&B
gregorian chant,Classical
guaracha,Other
gujarati garba,Other
gujarati pop,Pop
haryanvi pop,Pop
heavy metal,Rock
hi-nrg,Electronic
huayno,Other
hyperpop,Electronic
hypertechno,Electronic
idm,Electronic
indian indie,Other
indie,Other
indie punk,Rock
indie soul,R&B
italian singer-songwriter,Other
italian trap,Hip Hop
italo disco,Other
japanese classical,Classical
japanese vgm,Other
jazz house,Electronic
jazz rap,Hip Hop
jersey club,Other
k-ballad,Other
k-rap,Hip Hop
kannada pop,Pop
kayokyoku,Other
khaleeji,Other
kollywood,Other
kundiman,Folk
lagu jawa,Other
latin country,Country
latin dance,Electronic
latin folklore,Other
latin indie,Other
latin r&b,R&B
latin rock,Rock
lo-fi beats,Hip Hop
lo-fi house,Electronic
lo-fi indie,Other
lullaby,Other
mahraganat,Other
malayalam hip hop,Hip Hop
malayalam pop,Pop
marathi pop,Pop
melodic bass,Other
melodic house,Electronic
melodic techno,Electronic
mexican hip hop,Hip Hop
mexican rock,Rock
midwest emo,Rock
minimalism,Experimental
mollywood,Other
murga,Other
música mexicana,Folk
native american music,Folk
nederpop,Pop
neoperreo,Other
new orleans bounce,Other
new york drill,Hip Hop
nightcore,Electronic
norteño,Other
norteño-sax,Classical
nova mpb,Other
nueva trova,Folk
orchestra,Classical
oyun havasi,Other
p-pop,Pop
pentecostal,Other
philly soul,R&B
phonk,Hip Hop
pinoy hip hop,Hip Hop
pinoy r&b,R&B
pop country,Pop
pop soul,Pop
post-rock,Rock
queercore,Other
rage rap,Hip Hop
raï,Other
reggaeton chileno,Other
reggaeton mexa,Other
requiem,Classical
retro pop,Pop
retro soul,R&B
rock and roll,Rock
rock en español,Rock
rock quebecois,Rock
rocksteady,Other
rumba congolaise,Other
sad sierreño,Other
schlagerparty,Other
sea shanties,Other
seresta,Other
sexy drill,Hip Hop
sholawat,Other
sierreño,Other
slap house,Electronic
slowcore,Other
soft pop,Pop
son cubano,Other
southern gothic,Other
space music,Other
spanish-language reggae,Other
stutter house,Electronic
sufi,Other
swing music,Jazz
synthwave,Electronic
taiwanese indie,Other
tamil dance,Other
tamil hip hop,Hip Hop
tamil indie,Other
tamil pop,Pop
telugu pop,Pop
thai rock,Rock
tollywood,Other
traditional music,Other
trap,Hip Hop
trap latino,Hip Hop
trap metal,Rock
trap soul,Hip Hop
tropical house,Electronic
tropical music,Other
turreo,Other
uk drill,Hip Hop
uk r&b,R&B
v-pop,Pop
variété française,Other
villancicos,Other
west coast hip hop,Hip Hop
